,Player_ID,Name,YrStart,YrEnd,Pos,Height,Weight,Birth_date,College
1139,ellefra01,Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University
1140,ellenhe01,Henry Ellenson,2017,2018,F,6-11,245,"January 13, 1997",Marquette University
1141,ellinwa01,Wayne Ellington,2010,2018,G,6-4,200,"October 29, 1987",University of North Carolina
1142,elliobo01,Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955",University of Arizona
1143,elliose01,Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",University of Arizona
1144,ellisbo02,Bo Ellis,1978,1980,F,6-9,197,"August 8, 1954",Marquette University
1145,ellisbo01,Boo Ellis,1959,1960,F,6-5,185,"February 11, 1936",Niagara University
1146,ellisda01,Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",University of Tennessee
1147,ellisha01,Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College
1148,ellisjo01,Joe Ellis,1967,1974,F-G,6-6,175,"May 3, 1944",University of San Francisco
1149,ellisla01,LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",University of Notre Dame
1150,ellisle02,LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969",Syracuse University
1151,ellisle01,Leroy Ellis,1963,1976,C-F,6-10,210,"March 10, 1940",St. John's University
1152,ellismo01,Monta Ellis,2006,2017,G,6-3,185,"October 26, 1985",
1153,ellispe01,Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",University of Louisville
1154,elmorle01,Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952",University of Maryland
1155,elsonfr01,Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",University of California
1156,elstoda01,Darrell Elston,1975,1977,G,6-4,190,"August 15, 1952",University of North Carolina
1157,elyme01,Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978","California State University, Fresno"
1158,embiijo01,Joel Embiid,2017,2018,C-F,7-0,250,"March 16, 1994",University of Kansas
1159,embrywa01,Wayne Embry,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University
1160,emmetan01,Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech University
1161,endrene01,Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron
